Action,Cap,Game,Opponent,Opponent name,Period,Player,RSA,Score,Seconds,Team,Time,Result,Goal
5m shot,12,3,1,ESP,1.0,WHITE K,0,0 - 1,364,RSA,6:04,Saved,0
5m shot,2,3,1,ESP,1.0,PENNEY A,1,1 - 1,318,RSA,5:18,Goal,1
Extra player shot,7,3,2,ESP,1.0,ESPAR LLAQUET C,1,1 - 2,250,ESP,4:10,Goal,1
Counter attack,9,3,3,ESP,1.0,FORCA ARIZA J,1,1 - 3,223,ESP,3:43,Goal,1
5m shot,6,3,3,ESP,1.0,LLORET GOMEZ H,1,1 - 3,188,ESP,3:08,Missed,0
Action shot,9,3,3,ESP,1.0,SMIT Z,1,1 - 3,169,RSA,2:49,Missed,0
5m shot,3,3,3,ESP,1.0,ESPAR LLAQUET A,1,1 - 3,155,ESP,2:35,Post,0
Action shot,10,3,4,ESP,1.0,CRESPI BARRIGA P,1,1 - 4,61,ESP,1:01,Goal,1
5m shot,12,3,4,ESP,1.0,WHITE K,1,1 - 4,27,RSA,0:27,Saved,0
5m shot,12,3,4,ESP,1.0,WHITE K,1,1 - 4,1,RSA,0:01,Blocked,0
Extra player shot,3,3,5,ESP,2.0,ESPAR LLAQUET A,1,1 - 5,435,ESP,7:15,Goal,1
Extra player shot,8,3,6,ESP,2.0,PENA CARRASCO M,1,1 - 6,372,ESP,6:12,Goal,1
5m shot,6,3,6,ESP,2.0,LLORET GOMEZ H,1,1 - 6,343,ESP,5:43,Missed,0
5m shot,9,3,7,ESP,2.0,FORCA ARIZA J,1,1 - 7,291,ESP,4:51,Goal,1
5m shot,11,3,7,ESP,2.0,GUAL ROVIROSA A,1,1 - 7,179,ESP,2:59,Post,0
5m shot,11,3,8,ESP,2.0,GUAL ROVIROSA A,1,1 - 8,164,ESP,2:44,Goal,1
5m shot,8,3,9,ESP,2.0,PENA CARRASCO M,1,1 - 9,111,ESP,1:51,Goal,1
5m shot,,3,17 RSA,ESP,4.0,BARRETT N,3,3 - 17 RSA,18,11,0:18,Goal,1
Action shot,12.0,3,10,ESP,2.0,LEITON ARRONES P,1,1 - 10,8,ESP,0:08,Goal,1
Action shot,12.0,3,11,ESP,3.0,LEITON ARRONES P,1,1 - 11,431,ESP,7:11,Goal,1
5m shot,2.0,3,11,ESP,3.0,BACH PASCUAL M,1,1 - 11,377,ESP,6:17,Saved,0
5m shot,10.0,3,11,ESP,3.0,CRESPI BARRIGA P,1,1 - 11,281,ESP,4:41,Blocked,0
Extra player shot,11.0,3,11,ESP,3.0,BARRETT N,1,1 - 11,262,RSA,4:22,Saved,0
5m shot,7.0,3,11,ESP,3.0,ESPAR LLAQUET C,1,1 - 11,234,ESP,3:54,Saved,0
5m shot,2.0,3,11,ESP,3.0,PENNEY A,1,1 - 11,201,RSA,3:21,Saved,0
Action shot,2.0,3,11,ESP,3.0,PENNEY A,1,1 - 11,171,RSA,2:51,Post,0
Action shot,12.0,3,11,ESP,3.0,LEITON ARRONES P,1,1 - 11,125,ESP,2:05,Saved,0
5m shot,9.0,3,11,ESP,3.0,SMIT Z,2,2 - 11,102,RSA,1:42,Goal,1
5m shot,7.0,3,11,ESP,3.0,WESSELS C,2,2 - 11,55,RSA,0:55,Missed,0
5m shot,4.0,3,12,ESP,3.0,ORTIZ MUNOZ B,2,2 - 12,30,ESP,0:30,Goal,1
5m shot,4.0,3,12,ESP,3.0,ORTIZ MUNOZ B,2,2 - 12,1,ESP,0:01,Saved,0
Action shot,4.0,3,13,ESP,4.0,ORTIZ MUNOZ B,2,2 - 13,445,ESP,7:25,Goal,1
5m shot,2.0,3,13,ESP,4.0,PENNEY A,2,2 - 13,421,RSA,7:01,Blocked,0
Penalty shot,4.0,3,13,ESP,4.0,ORTIZ MUNOZ B,2,2 - 13,399,ESP,6:39,Saved,0
Extra player shot,5.0,3,13,ESP,4.0,ORTIZ REYES M,2,2 - 13,355,ESP,5:55,Saved,0
Extra player shot,12.0,3,14,ESP,4.0,LEITON ARRONES P,2,2 - 14,344,ESP,5:44,Goal,1
Counter attack,9.0,3,14,ESP,4.0,FORCA ARIZA J,2,2 - 14,310,ESP,5:10,Saved,0
Action shot,9.0,3,15,ESP,4.0,FORCA ARIZA J,2,2 - 15,226,ESP,3:46,Goal,1
5m shot,9.0,3,16,ESP,4.0,FORCA ARIZA J,2,2 - 16,182,ESP,3:02,Goal,1
Action shot,9.0,3,17,ESP,4.0,FORCA ARIZA J,2,2 - 17,79,ESP,1:19,Goal,1
5m shot,ESP 9,3,17,ESP,4.0,FORCA ARIZA J,2,2 - 17,1,,0:01,Blocked,0
Penalty shot,12.0,4,0,BRA,1.0,WHITE K,1,0 - 1,461,RSA,7:41,Goal,1
Centre shot,3.0,4,0,BRA,1.0,PALEY K,1,0 - 1,389,RSA,6:29,Saved,0
5m shot,3.0,4,1,BRA,1.0,ZABLITH M,1,1 - 1,362,BRA,6:02,Goal,1
5m shot,12.0,4,1,BRA,1.0,WHITE K,1,1 - 1,336,RSA,5:36,Missed,0
5m shot,2.0,4,1,BRA,1.0,ABLA D,1,1 - 1,308,BRA,5:08,Post,0
5m shot,2.0,4,2,BRA,1.0,ABLA D,1,2 - 1,255,BRA,4:15,Goal,1
Centre shot,9.0,4,2,BRA,1.0,SMIT Z,1,2 - 1,186,RSA,3:06,Missed,0
5m shot,3.0,4,2,BRA,1.0,ZABLITH M,1,2 - 1,174,BRA,2:54,Missed,0
Action shot,2.0,4,2,BRA,1.0,ABLA D,1,2 - 1,129,BRA,2:09,Missed,0
5m shot,12.0,4,2,BRA,1.0,WHITE K,1,2 - 1,102,RSA,1:42,Saved,0
5m shot,2.0,4,2,BRA,1.0,ABLA D,1,2 - 1,73,BRA,1:13,Saved,0
Centre shot,9.0,4,2,BRA,1.0,SMIT Z,1,2 - 1,42,RSA,0:42,Saved,0
Extra player shot,2.0,4,3,BRA,1.0,ABLA D,1,3 - 1,20,BRA,0:20,Goal,1
5m shot,2.0,4,3,BRA,1.0,PENNEY A,1,3 - 1,1,RSA,0:01,Saved,0
Extra player shot,2.0,4,4,BRA,2.0,ABLA D,1,4 - 1,442,BRA,7:22,Goal,1
5m shot,11.0,4,4,BRA,2.0,BARRETT N,1,4 - 1,418,RSA,6:58,Missed,0
5m shot,11.0,4,4,BRA,2.0,DUARTE M,1,4 - 1,394,BRA,6:34,Post,0
5m shot,8.0,4,4,BRA,2.0,KEEVY A,1,4 - 1,367,RSA,6:07,Missed,0
5m shot,3.0,4,4,BRA,2.0,ZABLITH M,1,4 - 1,342,BRA,5:42,Saved,0
Counter attack,6.0,4,4,BRA,2.0,HALLENDORFF A,2,4 - 2,329,RSA,5:29,Goal,1
5m shot,11.0,4,4,BRA,2.0,DUARTE M,2,4 - 2,308,BRA,5:08,Missed,0
Action shot,12.0,4,4,BRA,2.0,WHITE K,2,4 - 2,294,RSA,4:54,Missed,0
5m shot,11.0,4,4,BRA,2.0,DUARTE M,2,4 - 2,221,BRA,3:41,Missed,0
5m shot,3.0,4,5,BRA,2.0,ZABLITH M,2,5 - 2,186,BRA,3:06,Goal,1
Action shot,2.0,4,5,BRA,2.0,PENNEY A,2,5 - 2,158,RSA,2:38,Blocked,0
Extra player shot,9.0,4,5,BRA,2.0,DIAS M,2,5 - 2,124,BRA,2:04,Saved,0
Centre shot,2.0,4,10,BRA,4.0,ABLA D,5,10 - 5,65,BRA,1:05,Goal,1
Extra player shot,3.0,4,10,BRA,2.0,ZABLITH M,5,10 - 5,15,BRA,0:15,Post,0
5m shot,12.0,4,10,BRA,2.0,WHITE K,5,10 - 5,1,RSA,0:01,Post,0
Action shot,11.0,4,10,BRA,3.0,BARRETT N,5,10 - 5,456,RSA,7:36,Missed,0
5m shot,11.0,4,10,BRA,3.0,DUARTE M,5,10 - 5,427,BRA,7:07,Saved,0
Action shot,11.0,4,10,BRA,3.0,BARRETT N,5,10 - 5,402,RSA,6:42,Missed,0
5m shot,2.0,4,6,BRA,3.0,ABLA D,2,6 - 2,376,BRA,6:16,Goal,1
Action shot,3.0,4,6,BRA,3.0,PALEY K,2,6 - 2,361,RSA,6:01,Missed,0
Action shot,3.0,4,7,BRA,3.0,ZABLITH M,2,7 - 2,341,BRA,5:41,Goal,1
Centre shot,2.0,4,7,BRA,3.0,PENNEY A,2,7 - 2,317,RSA,5:17,Missed,0
5m shot,6.0,4,7,BRA,3.0,HALLENDORFF A,3,7 - 3,269,RSA,4:29,Goal,1
Action shot,9.0,4,7,BRA,3.0,SMIT Z,3,7 - 3,219,RSA,3:39,Saved,0
5m shot,8.0,4,7,BRA,3.0,KEEVY A,3,7 - 3,181,RSA,3:01,Saved,0
Extra player shot,9.0,4,7,BRA,3.0,DIAS M,3,7 - 3,142,BRA,2:22,Saved,0
5m shot,11.0,4,7,BRA,3.0,BARRETT N,3,7 - 3,117,RSA,1:57,Post,0
Action shot,8.0,4,7,BRA,3.0,KEEVY A,3,7 - 3,110,RSA,1:50,Saved,0
Extra player shot,9.0,4,8,BRA,3.0,DIAS M,3,8 - 3,66,BRA,1:06,Goal,1
5m shot,12.0,4,8,BRA,3.0,BELORIO L,3,8 - 3,1,BRA,0:01,Missed,0
5m shot,3.0,4,8,BRA,4.0,ZABLITH M,3,8 - 3,451,BRA,7:31,Post,0
Extra player shot,11.0,4,8,BRA,4.0,DUARTE M,3,8 - 3,403,BRA,6:43,Saved,0
5m shot,3.0,4,9,BRA,4.0,ZABLITH M,3,9 - 3,386,BRA,6:26,Goal,1
5m shot,7.0,4,9,BRA,4.0,WESSELS C,4,9 - 4,367,RSA,6:07,Goal,1
5m shot,10.0,4,9,BRA,4.0,BAHIA V,4,9 - 4,240,BRA,4:00,Saved,0
Counter attack,3.0,4,9,BRA,4.0,PALEY K,5,9 - 5,172,RSA,2:52,Goal,1
Action shot,11.0,4,9,BRA,4.0,DUARTE M,5,9 - 5,149,BRA,2:29,Saved,0
Action shot,12.0,4,9,BRA,4.0,WHITE K,5,9 - 5,128,RSA,2:08,Saved,0
Extra player shot,10.0,4,9,BRA,4.0,MANSON M,5,9 - 5,24,RSA,0:24,Missed,0
Action shot,12.0,5,0,KAZ,1.0,WHITE K,0,0 - 0,376,RSA,6:16,Saved,0
Action shot,5.0,5,0,KAZ,1.0,ZAKIROVA K,0,0 - 0,325,KAZ,5:25,Saved,0
Extra player shot,6.0,5,0,KAZ,1.0,HALLENDORFF A,0,0 - 0,291,RSA,4:51,Missed,0
Extra player shot,3.0,5,1,KAZ,1.0,AKILBAYEVA A,0,0 - 1,259,KAZ,4:19,Goal,1
Extra player shot,10.0,5,1,KAZ,1.0,MYRZABEKOVA Z,0,0 - 1,202,KAZ,3:22,Post,0
Centre shot,9.0,5,1,KAZ,1.0,SMIT Z,1,1 - 1,177,RSA,2:57,Goal,1
Counter attack,11.0,5,1,KAZ,1.0,BARRETT N,1,1 - 1,145,RSA,2:25,Saved,0
Action shot,3.0,5,2,KAZ,1.0,AKILBAYEVA A,1,1 - 2,124,KAZ,2:04,Goal,1
5m shot,12.0,5,2,KAZ,1.0,MUSSAROVA A,1,1 - 2,81,KAZ,1:21,Saved,0
Penalty shot,11.0,5,2,KAZ,1.0,MIRSHINA A,1,1 - 2,53,KAZ,0:53,Missed,0
Action shot,5.0,5,2,KAZ,1.0,ZAKIROVA K,1,1 - 2,13,KAZ,0:13,Saved,0
Extra player shot,5.0,5,2,KAZ,2.0,SCHOOLING M,1,1 - 2,446,RSA,7:26,Saved,0
Action shot,9.0,5,3,KAZ,2.0,YEREMINA A,1,1 - 3,418,KAZ,6:58,Goal,1
5m shot,11.0,5,4,KAZ,2.0,MIRSHINA A,1,1 - 4,366,KAZ,6:06,Goal,1
Penalty shot,12.0,5,4,KAZ,2.0,WHITE K,2,2 - 4,351,RSA,5:51,Goal,1
Centre shot,9.0,5,4,KAZ,2.0,SMIT Z,3,3 - 4,317,RSA,5:17,Goal,1
Action shot,8.0,5,4,KAZ,2.0,SAICHUK O,3,3 - 4,299,KAZ,4:59,Missed,0
Action shot,11.0,5,4,KAZ,2.0,BARRETT N,3,3 - 4,276,RSA,4:36,Saved,0
Action shot,3.0,5,4,KAZ,2.0,AKILBAYEVA A,3,3 - 4,252,KAZ,4:12,Missed,0
5m shot,10.0,5,4,KAZ,2.0,MANSON M,3,3 - 4,199,RSA,3:19,Post,0
Centre shot,7.0,5,5,KAZ,4.0,NOVIKOVA A,4,4 - 5,205,KAZ,3:25,Goal,1
5m shot,7.0,5,5,KAZ,4.0,NOVIKOVA A,4,4 - 5,144,KAZ,2:24,Missed,0
Centre shot,10.0,5,5,KAZ,2.0,MYRZABEKOVA Z,4,4 - 5,108,KAZ,1:48,Saved,0
Extra player shot,5.0,5,5,KAZ,2.0,ZAKIROVA K,4,4 - 5,22,KAZ,0:22,Blocked,0
5m shot,2.0,5,5,KAZ,2.0,PENNEY A,4,4 - 5,4,RSA,0:04,Missed,0
Extra player shot,12.0,5,5,KAZ,3.0,WHITE K,4,4 - 5,441,RSA,7:21,Saved,0
Centre shot,3.0,5,5,KAZ,3.0,PALEY K,4,4 - 5,417,RSA,6:57,Saved,0
5m shot,11.0,5,5,KAZ,3.0,MIRSHINA A,4,4 - 5,383,KAZ,6:23,Saved,0
Centre shot,4.0,5,5,KAZ,3.0,TUROVA A,4,4 - 5,345,KAZ,5:45,Missed,0
5m shot,12.0,5,5,KAZ,3.0,WHITE K,4,4 - 5,316,RSA,5:16,Saved,0
Centre shot,3.0,5,5,KAZ,3.0,PALEY K,4,4 - 5,269,RSA,4:29,Saved,0
Centre shot,9.0,5,5,KAZ,3.0,SMIT Z,4,4 - 5,221,RSA,3:41,Post,0
Counter attack,11.0,5,4,KAZ,3.0,BARRETT N,4,4 - 4,179,RSA,2:59,Goal,1
Centre shot,9.0,5,4,KAZ,4.0,SMIT Z,4,4 - 4,462,RSA,7:42,Saved,0
5m shot,5.0,5,4,KAZ,4.0,ZAKIROVA K,4,4 - 4,432,KAZ,7:12,Saved,0
Extra player shot,6.0,5,4,KAZ,4.0,ROGA D,4,4 - 4,396,KAZ,6:36,Missed,0
Action shot,6.0,5,4,KAZ,4.0,HALLENDORFF A,4,4 - 4,373,RSA,6:13,Saved,0
5m shot,3.0,5,4,KAZ,4.0,AKILBAYEVA A,4,4 - 4,342,KAZ,5:42,Saved,0
Action shot,5.0,5,4,KAZ,4.0,SCHOOLING M,4,4 - 4,279,RSA,4:39,Missed,0
Extra player shot,3.0,5,4,KAZ,4.0,PALEY K,4,4 - 4,50,RSA,0:50,Saved,0
5m shot,12.0,5,6,KAZ,4.0,MUSSAROVA A,4,4 - 6,1,KAZ,0:01,Goal,1
