Action,Cap,Game,NED,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Counter attack,8.0,5,1,6,HUN,2.0,KESZTHELYI R,1 - 6,295,HUN,4:55,Goal,1
Action shot,11.0,5,1,6,HUN,2.0,GARDA K,1 - 6,209,HUN,3:29,Saved,0
Centre shot,12.0,5,1,6,HUN,2.0,van der MOLEN l,1 - 6,174,NED,2:54,Saved,0
Action shot,10.0,5,1,6,HUN,4.0,GENEE D,1 - 6,171,NED,2:51,Saved,0
Extra player shot,11.0,5,7,9,HUN,4.0,KLAASSEN L,7 - 9,140,NED,2:20,Goal,1
Extra player shot,12.0,5,7,10,HUN,4.0,MENCZINGER K,7 - 10,101,HUN,1:41,Goal,1
5m shot,6.0,5,7,10,HUN,4.0,TAKACS O,7 - 10,62,HUN,1:02,Missed,0
Extra player shot,8.0,5,7,10,HUN,2.0,KESZTHELYI R,7 - 10,122,HUN,2:02,Missed,0
Action shot,5.0,5,7,10,HUN,2.0,SZUCS G,7 - 10,67,HUN,1:07,Saved,0
5m shot,4.0,5,7,10,HUN,2.0,HAKHVERDIAN B,7 - 10,49,NED,0:49,Post,0
Extra player shot,3.0,5,7,10,HUN,2.0,ANTAL D,7 - 10,5,HUN,0:05,Blocked,0
Action shot,8.0,5,1,7,HUN,2.0,KESZTHELYI R,1 - 7,1,HUN,0:01,Goal,1
Extra player shot,2.0,5,1,7,HUN,3.0,SMIT Y,1 - 7,450,NED,7:30,Saved,0
5m shot,11.0,5,2,7,HUN,3.0,KLAASSEN L,2 - 7,400,NED,6:40,Goal,1
Extra player shot,11.0,5,2,7,HUN,3.0,KLAASSEN L,2 - 7,355,NED,5:55,Missed,0
Extra player shot,3.0,5,2,8,HUN,3.0,ANTAL D,2 - 8,321,HUN,5:21,Goal,1
Action shot,7.0,5,2,8,HUN,3.0,van BELKUM I,2 - 8,295,NED,4:55,Saved,0
5m shot,12.0,5,2,8,HUN,3.0,MENCZINGER K,2 - 8,275,HUN,4:35,Saved,0
Centre shot,9.0,5,2,8,HUN,3.0,TOTH I,2 - 8,240,HUN,4:00,Saved,0
5m shot,5.0,5,2,8,HUN,3.0,van der SLOOT S,2 - 8,214,NED,3:34,Blocked,0
Centre shot,2.0,5,2,8,HUN,3.0,SMIT Y,2 - 8,204,NED,3:24,Saved,0
Action shot,5.0,5,2,8,HUN,3.0,SZUCS G,2 - 8,154,HUN,2:34,Blocked,0
Action shot,6.0,5,3,8,HUN,3.0,STOMPHORST N,3 - 8,137,NED,2:17,Goal,1
Centre shot,10.0,5,3,9,HUN,3.0,BUJKA B,3 - 9,114,HUN,1:54,Goal,1
Centre shot,7.0,5,4,9,HUN,3.0,van BELKUM I,4 - 9,97,NED,1:37,Goal,1
5m shot,11.0,5,4,9,HUN,3.0,GARDA K,4 - 9,5,HUN,0:05,Missed,0
Action shot,10.0,5,4,9,HUN,4.0,GENEE D,4 - 9,451,NED,7:31,Blocked,0
Action shot,8.0,5,4,9,HUN,4.0,SEVENICH V,4 - 9,429,NED,7:09,Saved,0
5m shot,7.0,5,4,9,HUN,4.0,MISKOLCZI I,4 - 9,400,HUN,6:40,Missed,0
Action shot,10.0,5,4,9,HUN,4.0,GENEE D,4 - 9,386,NED,6:26,Post,0
Extra player shot,2.0,5,5,9,HUN,4.0,SMIT Y,5 - 9,334,NED,5:34,Goal,1
Extra player shot,7.0,5,5,9,HUN,4.0,van BELKUM I,5 - 9,271,NED,4:31,Saved,0
5m shot,2.0,5,5,9,HUN,4.0,SMIT Y,5 - 9,232,NED,3:52,Saved,0
Action shot,5.0,5,6,9,HUN,4.0,van der SLOOT S,6 - 9,217,NED,3:37,Goal,1
Centre shot,10.0,5,6,9,HUN,4.0,BUJKA B,6 - 9,193,HUN,3:13,Saved,0
5m shot,7.0,5,6,9,HUN,4.0,van BELKUM I,6 - 9,55,NED,0:55,Saved,0
Extra player shot,5.0,5,6,9,HUN,4.0,van der SLOOT S,6 - 9,34,NED,0:34,Saved,0
Extra player shot,3.0,5,7,11,HUN,4.0,ANTAL D,7 - 11,11,HUN,0:11,Goal,1
5m shot,11.0,5,7,11,HUN,4.0,KLAASSEN L,7 - 11,6,NED,0:06,Saved,0
Centre shot,8.0,5,7,11,HUN,4.0,SEVENICH V,7 - 11,2,NED,0:02,Saved,0
Action shot,7.0,6,1,0,USA,1.0,van BELKUM I,0 - 1,465,NED,7:45,Goal,1
Action shot,6.0,6,1,0,USA,1.0,STOMPHORST N,0 - 1,416,NED,6:56,Missed,0
Action shot,7.0,6,1,0,USA,1.0,MATHEWSON C,0 - 1,402,USA,6:42,Post,0
Action shot,11.0,6,1,0,USA,1.0,KLAASSEN L,0 - 1,372,NED,6:12,Saved,0
Action shot,6.0,6,1,0,USA,1.0,STEFFENS M,0 - 1,345,USA,5:45,Post,0
Action shot,2.0,6,1,0,USA,1.0,SILVER L,0 - 1,326,USA,5:26,Saved,0
Counter attack,12.0,6,1,1,USA,1.0,CRAIG K,1 - 1,265,USA,4:25,Goal,1
Action shot,2.0,6,1,1,USA,1.0,SMIT Y,1 - 1,244,NED,4:04,Missed,0
Action shot,6.0,6,1,1,USA,1.0,STOMPHORST N,1 - 1,208,NED,3:28,Blocked,0
Action shot,11.0,6,1,1,USA,1.0,KLAASSEN L,1 - 1,172,NED,2:52,Saved,0
Counter attack,11.0,6,1,2,USA,1.0,DRIES A,2 - 1,158,USA,2:38,Goal,1
Centre shot,12.0,6,1,2,USA,1.0,van der MOLEN l,2 - 1,97,NED,1:37,Saved,0
Action shot,8.0,6,1,2,USA,1.0,NEUSHUL K,2 - 1,59,USA,0:59,Blocked,0
Centre shot,12.0,6,2,2,USA,1.0,van der MOLEN l,2 - 2,46,NED,0:46,Goal,1
Action shot,11.0,6,3,2,USA,2.0,KLAASSEN L,2 - 3,460,NED,7:40,Goal,1
Action shot,7.0,6,3,2,USA,2.0,MATHEWSON C,2 - 3,430,USA,7:10,Missed,0
Extra player shot,7.0,6,3,3,USA,2.0,MATHEWSON C,3 - 3,393,USA,6:33,Goal,1
Centre shot,8.0,6,3,3,USA,2.0,SEVENICH V,3 - 3,368,NED,6:08,Missed,0
Action shot,10.0,6,3,3,USA,2.0,RULON K,3 - 3,294,USA,4:54,Blocked,0
Action shot,2.0,6,4,3,USA,2.0,SMIT Y,3 - 4,257,NED,4:17,Goal,1
Action shot,2.0,6,4,3,USA,2.0,SMIT Y,3 - 4,216,NED,3:36,Saved,0
Centre shot,11.0,6,4,4,USA,2.0,DRIES A,4 - 4,199,USA,3:19,Goal,1
Extra player shot,9.0,6,4,5,USA,2.0,KRAUS J,5 - 4,137,USA,2:17,Goal,1
Action shot,3.0,6,4,6,USA,2.0,SEIDEMANN M,6 - 4,85,USA,1:25,Goal,1
Centre shot,7.0,6,4,6,USA,2.0,van BELKUM I,6 - 4,55,NED,0:55,Saved,0
Action shot,4.0,6,4,6,USA,2.0,FATTAL R,6 - 4,33,USA,0:33,Saved,0
Centre shot,12.0,6,4,6,USA,4.0,CRAIG K,6 - 4,52,USA,0:52,Post,0
Action shot,11.0,6,5,6,USA,2.0,KLAASSEN L,6 - 5,3,NED,0:03,Goal,1
5m shot,8.0,6,5,6,USA,2.0,NEUSHUL K,6 - 5,1,USA,0:01,Blocked,0
Action shot,11.0,6,5,6,USA,3.0,KLAASSEN L,6 - 5,427,NED,7:07,Blocked,0
Action shot,7.0,6,5,7,USA,3.0,MATHEWSON C,7 - 5,403,USA,6:43,Goal,1
Action shot,8.0,6,5,7,USA,3.0,SEVENICH V,7 - 5,382,NED,6:22,Post,0
Action shot,5.0,6,5,7,USA,3.0,CLARK C,7 - 5,365,USA,6:05,Saved,0
Action shot,5.0,6,5,7,USA,3.0,CLARK C,7 - 5,351,USA,5:51,Blocked,0
Action shot,4.0,6,6,7,USA,3.0,HAKHVERDIAN B,7 - 6,315,NED,5:15,Goal,1
5m shot,3.0,6,6,7,USA,3.0,SEIDEMANN M,7 - 6,290,USA,4:50,Missed,0
Extra player shot,2.0,6,6,7,USA,3.0,SILVER L,7 - 6,233,USA,3:53,Saved,0
Action shot,8.0,6,6,8,USA,3.0,NEUSHUL K,8 - 6,222,USA,3:42,Goal,1
Action shot,5.0,6,6,8,USA,3.0,van der SLOOT S,8 - 6,197,NED,3:17,Saved,0
Action shot,6.0,6,6,8,USA,3.0,STEFFENS M,8 - 6,169,USA,2:49,Blocked,0
Action shot,11.0,6,7,8,USA,3.0,KLAASSEN L,8 - 7,140,NED,2:20,Goal,1
Action shot,3.0,6,7,8,USA,3.0,SEIDEMANN M,8 - 7,120,USA,2:00,Saved,0
Extra player shot,8.0,6,7,8,USA,3.0,SEVENICH V,8 - 7,77,NED,1:17,Blocked,0
5m shot,7.0,6,7,8,USA,3.0,van BELKUM I,8 - 7,28,NED,0:28,Missed,0
Extra player shot,8.0,6,7,9,USA,3.0,NEUSHUL K,9 - 7,4,USA,0:04,Goal,1
5m shot,11.0,6,7,9,USA,3.0,KLAASSEN L,9 - 7,1,NED,0:01,Saved,0
Action shot,5.0,6,8,9,USA,4.0,van der SLOOT S,9 - 8,450,NED,7:30,Goal,1
Centre shot,12.0,6,8,10,USA,4.0,CRAIG K,10 - 8,424,USA,7:04,Goal,1
Penalty shot,6.0,6,8,11,USA,4.0,STEFFENS M,11 - 8,374,USA,6:14,Goal,1
Extra player shot,2.0,6,9,11,USA,4.0,SMIT Y,11 - 9,342,NED,5:42,Goal,1
Action shot,2.0,6,9,11,USA,4.0,SILVER L,11 - 9,284,USA,4:44,Missed,0
Action shot,9.0,6,9,11,USA,4.0,SLAGTER C,11 - 9,260,NED,4:20,Saved,0
Action shot,9.0,6,9,11,USA,4.0,SLAGTER C,11 - 9,242,NED,4:02,Saved,0
Action shot,6.0,6,9,12,USA,4.0,STEFFENS M,12 - 9,204,USA,3:24,Goal,1
Action shot,4.0,6,9,12,USA,4.0,FATTAL R,12 - 9,157,USA,2:37,Missed,0
Action shot,6.0,6,10,12,USA,4.0,STOMPHORST N,12 - 10,138,NED,2:18,Goal,1
Extra player shot,11.0,6,11,12,USA,4.0,KLAASSEN L,12 - 11,80,NED,1:20,Goal,1
5m shot,11.0,6,11,12,USA,4.0,KLAASSEN L,12 - 11,21,NED,0:21,Missed,0
Action shot,2.0,7,1,0,CAN,1.0,SMIT Y,0 - 1,454,NED,7:34,Goal,1
Penalty shot,11.0,7,2,0,CAN,1.0,KLAASSEN L,0 - 2,400,NED,6:40,Goal,1
Action shot,8.0,7,2,0,CAN,1.0,PERREAULT D,0 - 2,383,CAN,6:23,Saved,0
Action shot,11.0,7,2,0,CAN,1.0,VALIN S,0 - 2,359,CAN,5:59,Blocked,0
Action shot,7.0,7,2,0,CAN,1.0,van BELKUM I,0 - 2,329,NED,5:29,Missed,0
Action shot,7.0,7,2,1,CAN,1.0,BEKHAZI J,1 - 2,307,CAN,5:07,Goal,1
Action shot,11.0,7,2,1,CAN,1.0,KLAASSEN L,1 - 2,286,NED,4:46,Saved,0
Action shot,7.0,7,2,1,CAN,1.0,BEKHAZI J,1 - 2,261,CAN,4:21,Saved,0
Action shot,2.0,7,3,1,CAN,1.0,SMIT Y,1 - 3,242,NED,4:02,Goal,1
Action shot,9.0,7,3,1,CAN,1.0,EGGENS C,1 - 3,227,CAN,3:47,Saved,0
Action shot,4.0,7,4,1,CAN,1.0,HAKHVERDIAN B,1 - 4,198,NED,3:18,Goal,1
Action shot,2.0,7,5,1,CAN,1.0,SMIT Y,1 - 5,148,NED,2:28,Goal,1
Action shot,9.0,7,5,1,CAN,1.0,EGGENS C,1 - 5,123,CAN,2:03,Missed,0
Extra player shot,5.0,7,5,1,CAN,1.0,EGGENS M,1 - 5,90,CAN,1:30,Saved,0
Action shot,7.0,7,5,1,CAN,1.0,van BELKUM I,1 - 5,63,NED,1:03,Missed,0
5m shot,5.0,7,5,1,CAN,1.0,EGGENS M,1 - 5,1,CAN,0:01,Post,0
Extra player shot,8.0,7,6,1,CAN,2.0,SEVENICH V,1 - 6,453,NED,7:33,Goal,1
Extra player shot,8.0,7,6,2,CAN,2.0,PERREAULT D,2 - 6,437,CAN,7:17,Goal,1
Action shot,2.0,7,6,2,CAN,2.0,SMIT Y,2 - 6,416,NED,6:56,Missed,0
Centre shot,7.0,7,6,2,CAN,2.0,van BELKUM I,2 - 6,382,NED,6:22,Post,0
Action shot,7.0,7,6,2,CAN,2.0,BEKHAZI J,2 - 6,323,CAN,5:23,Post,0
Action shot,11.0,7,6,3,CAN,2.0,VALIN S,3 - 6,264,CAN,4:24,Goal,1
Action shot,6.0,7,7,3,CAN,2.0,STOMPHORST N,3 - 7,242,NED,4:02,Goal,1
Action shot,6.0,7,7,3,CAN,2.0,BARON la SALLE S,3 - 7,213,CAN,3:33,Post,0
Penalty shot,11.0,7,8,3,CAN,2.0,KLAASSEN L,3 - 8,185,NED,3:05,Goal,1
Action shot,9.0,7,8,3,CAN,2.0,SLAGTER C,3 - 8,145,NED,2:25,Saved,0
Action shot,9.0,7,8,3,CAN,2.0,EGGENS C,3 - 8,115,CAN,1:55,Saved,0
Extra player shot,5.0,7,8,3,CAN,2.0,EGGENS M,3 - 8,64,CAN,1:04,Saved,0
Action shot,8.0,7,8,3,CAN,2.0,PERREAULT D,3 - 8,53,CAN,0:53,Blocked,0
5m shot,7.0,7,8,3,CAN,2.0,van BELKUM I,3 - 8,25,NED,0:25,Saved,0
Centre shot,2.0,7,8,3,CAN,2.0,ALOGBO K,3 - 8,8,CAN,0:08,Missed,0
5m shot,9.0,7,8,3,CAN,2.0,SLAGTER C,3 - 8,1,NED,0:01,Missed,0
Centre shot,2.0,7,8,3,CAN,3.0,SMIT Y,3 - 8,456,NED,7:36,Saved,0
5m shot,5.0,7,8,3,CAN,3.0,EGGENS M,3 - 8,430,CAN,7:10,Blocked,0
Action shot,6.0,7,8,3,CAN,3.0,STOMPHORST N,3 - 8,402,NED,6:42,Saved,0
Extra player shot,7.0,7,8,3,CAN,3.0,BEKHAZI J,3 - 8,377,CAN,6:17,Saved,0
Action shot,4.0,7,8,3,CAN,3.0,WRIGHT E,3 - 8,367,CAN,6:07,Saved,0
Action shot,10.0,7,8,3,CAN,3.0,GENEE D,3 - 8,340,NED,5:40,Blocked,0
5m shot,10.0,7,8,4,CAN,3.0,ROBINSON C,4 - 8,302,CAN,5:02,Goal,1
Action shot,9.0,7,8,4,CAN,3.0,SLAGTER C,4 - 8,281,NED,4:41,Blocked,0
Extra player shot,8.0,7,8,5,CAN,3.0,PERREAULT D,5 - 8,250,CAN,4:10,Goal,1
Action shot,2.0,7,8,5,CAN,3.0,SMIT Y,5 - 8,237,NED,3:57,Saved,0
5m shot,10.0,7,8,5,CAN,3.0,GENEE D,5 - 8,191,NED,3:11,Saved,0
Extra player shot,11.0,7,8,6,CAN,3.0,VALIN S,6 - 8,155,CAN,2:35,Goal,1
Action shot,7.0,7,8,6,CAN,3.0,van BELKUM I,6 - 8,136,NED,2:16,Saved,0
Centre shot,4.0,7,9,6,CAN,3.0,HAKHVERDIAN B,6 - 9,108,NED,1:48,Goal,1
5m shot,10.0,7,9,6,CAN,3.0,ROBINSON C,6 - 9,90,CAN,1:30,Post,0
Action shot,5.0,7,10,6,CAN,3.0,van der SLOOT S,6 - 10,62,NED,1:02,Goal,1
Action shot,4.0,7,10,6,CAN,3.0,WRIGHT E,6 - 10,35,CAN,0:35,Saved,0
Counter attack,5.0,7,11,6,CAN,3.0,van der SLOOT S,6 - 11,17,NED,0:17,Goal,1
Extra player shot,7.0,7,11,7,CAN,3.0,BEKHAZI J,7 - 11,2,CAN,0:02,Goal,1
5m shot,5.0,7,11,7,CAN,3.0,van der SLOOT S,7 - 11,1,NED,0:01,Saved,0
Extra player shot,11.0,7,11,7,CAN,4.0,KLAASSEN L,7 - 11,441,NED,7:21,Blocked,0
Action shot,5.0,7,11,7,CAN,4.0,EGGENS M,7 - 11,412,CAN,6:52,Blocked,0
Extra player shot,11.0,7,11,8,CAN,4.0,VALIN S,8 - 11,357,CAN,5:57,Goal,1
Action shot,7.0,7,11,8,CAN,4.0,van BELKUM I,8 - 11,344,NED,5:44,Saved,0
Action shot,5.0,7,11,8,CAN,4.0,EGGENS M,8 - 11,316,CAN,5:16,Blocked,0
Extra player shot,11.0,7,11,8,CAN,4.0,KLAASSEN L,8 - 11,240,NED,4:00,Saved,0
Centre shot,8.0,7,11,8,CAN,4.0,SEVENICH V,8 - 11,229,NED,3:49,Saved,0
Action shot,10.0,7,11,8,CAN,4.0,ROBINSON C,8 - 11,202,CAN,3:22,Post,0
Action shot,2.0,7,11,8,CAN,4.0,SMIT Y,8 - 11,173,NED,2:53,Blocked,0
Action shot,8.0,7,11,8,CAN,4.0,PERREAULT D,8 - 11,143,CAN,2:23,Saved,0
Action shot,11.0,7,11,9,CAN,4.0,VALIN S,9 - 11,130,CAN,2:10,Goal,1
Action shot,11.0,7,11,9,CAN,4.0,VALIN S,9 - 11,80,CAN,1:20,Missed,0
Penalty shot,11.0,7,12,9,CAN,4.0,KLAASSEN L,9 - 12,52,NED,0:52,Goal,1
